timestamp,pyros,servos,servos_deg,accelerometer,barofilteredalt,temp,gyro,gps_fix,lat,lon,gpsalt,gps_horiz_prec,gps_vert_prec,gps_num_sat,flight_time,yaw_gyro_int,pitch_gyro_int,roll_gyro_int,state,pktnum,rssi,armed_pyros,fired_pyros,badpackets,rxrssi,accel_integrated_velo,baro_max_alt,gps_max_alt,pyro_resistances,cell_voltages,total_current,converter_voltages,converter_currents,bms_protections_enabled,bms_protection_status,bms_temp,enabled_status,angleFromVertical,gnd_lat,gnd_lon,gnd_fix,gnd_alt
1775195023.4145746,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.24200148046875, 0.20762516796875, 0.028347347656249997]",-162.45591735839844,33.32515174865723,"[11.38305663876, 3.32641601508, 0.762939453]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85505,51.816402435302734,65.26163482666016,-4.225954055786133,state.GROUND_TESTING,1451,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6660513877868652,0,0,"[10.0, 0.7, 16.5, 10.8, 15.9, 17.6, 0, 0]","[3.934, 3.932, 3.933]",0.292,"[2.9968000000000004, 3.3104, 5.0048, 7.3616, 8.432, 27.8272]","[0.001875, 0.251875, 0.000625, -0.0025, 0.0, 0.00125]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",75.00738794745897,0.0,0.0,False,0.0
1775195023.473091,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.235872324218748, 0.23060950390624996, 0.029879636718749998]",-162.3016357421875,33.31640785217285,"[-6.8664550769999995, -11.26098632628, 1.89208984344]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85565,51.65345764160156,65.33612823486328,-4.190230369567871,state.GROUND_TESTING,1452,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6666905879974365,0,0,"[10.6, 0.7, 15.5, 10.6, 15.9, 17.0, 0, 0]","[3.934, 3.932, 3.933]",0.292,"[2.9968000000000004, 3.3104, 5.0048, 7.3616, 8.432, 27.8272]","[0.001875, 0.251875, 0.000625, -0.0025, 0.0, 0.00125]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",74.99543029000972,0.0,0.0,False,0.0
1775195023.5341074,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.22821087890625, 0.20915745703125, 0.0168551796875]",-162.13473510742188,33.31203590393066,"[-12.023925779279999, -6.31713867084, -10.2233886702]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85619,51.84051513671875,65.42850494384766,-4.318305969238281,state.GROUND_TESTING,1453,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6680865287780762,0,0,"[10.4, 0.7, 16.5, 10.8, 15.5, 17.0, 0, 0]","[3.934, 3.932, 3.933]",0.292,"[2.9936000000000003, 3.3120000000000003, 5.0048, 7.3616, 8.4672, 27.8288]","[0.008125, 0.6875, 0.000625, 0.004375, -0.00125, 0.0025]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",75.11257868912058,0.0,0.0,False,0.0
1775195023.5926208,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.231275457031249, 0.22754492578125, 0.018387468749999997]",-162.19012451171875,33.307663955688476,"[-9.0026855454, -5.1574707022799995, -6.1340332021199995]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85679,51.77090835571289,65.68670654296875,-4.430890083312988,state.GROUND_TESTING,1454,-23,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-25,-1.6689287424087524,0,0,"[10.4, 0.7, 16.5, 10.8, 15.9, 17.6, 0, 0]","[3.934, 3.932, 3.933]",0.292,"[2.9936000000000003, 3.3120000000000003, 5.0048, 7.3616, 8.4672, 27.8288]","[0.008125, 0.6875, 0.000625, 0.004375, -0.00125, 0.0025]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",75.23951286919285,0.0,0.0,False,0.0
1775195023.6507592,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.225912445312499, 0.23214179296874998, 0.0199197578125]",-162.53248596191406,33.307663955688476,"[7.44628906128, 11.38305663876, -0.54931640616]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85739,51.846588134765625,65.60369110107422,-4.563633918762207,state.GROUND_TESTING,1455,-23,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-26,-1.6703476905822754,0,0,"[10.6, 0.7, 17.6, 10.6, 15.0, 16.5, 0, 0]","[3.934, 3.932, 3.933]",0.292,"[2.9952, 3.3120000000000003, 5.0032000000000005, 7.3664000000000005, 8.441600000000001, 27.8288]","[0.008125, 0.69375, 0.00125, 0.0, -0.0025, -0.00125]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",75.2165221450373,0.0,0.0,False,0.0
1775195023.7107568,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.2381707578125, 0.229843359375, 0.03064578125]",-163.00875854492188,33.31203590393066,"[3.17382812448, 1.00708007796, -4.82177734296]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85799,51.978424072265625,65.64458465576172,-4.715595245361328,state.GROUND_TESTING,1456,-23,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-26,-1.6713687181472778,0,0,"[10.4, 0.7, 17.0, 11.1, 16.5, 16.5, 0, 0]","[3.934, 3.932, 3.933]",0.292,"[2.9952, 3.3120000000000003, 5.0032000000000005, 7.3664000000000005, 8.441600000000001, 27.8288]","[0.008125, 0.69375, 0.00125, 0.0, -0.0025, -0.00125]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",75.28456697368826,0.0,0.0,False,0.0
1775195023.765273,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.2351061796875, 0.22677878124999998, -0.00383072265625]",-162.72314453125,33.307663955688476,"[6.5612792958, 7.04956054572, 16.60156249728]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85853,52.09065628051758,65.60296630859375,-4.716866493225098,state.GROUND_TESTING,1457,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6724299192428589,0,0,"[10.8, 0.7, 17.6, 10.4, 16.5, 16.5, 0, 0]","[3.934, 3.932, 3.933]",0.142,"[2.9968000000000004, 3.3120000000000003, 5.0016, 7.368, 8.456000000000001, 27.8272]","[0.0075, 0.635, -0.00125, 0.0, -0.00125, 0.00125]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",75.29821227783158,0.0,0.0,False,0.0
1775195023.8252714,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.24046919140625, 0.21758504687499997, 0.0260489140625]",-162.50686645507812,33.2989200592041,"[-12.93945312288, -8.6975097642, 3.93676757748]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85913,52.36223220825195,65.62372589111328,-4.673813343048096,state.GROUND_TESTING,1458,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6739219427108765,0,0,"[10.4, 0.7, 17.0, 10.6, 15.9, 17.0, 0, 0]","[3.934, 3.932, 3.933]",0.142,"[2.9968000000000004, 3.3120000000000003, 5.0016, 7.368, 8.456000000000001, 27.8272]","[0.0075, 0.635, -0.00125, 0.0, -0.00125, 0.00125]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",75.40179439862182,0.0,0.0,False,0.0
1775195023.8877861,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.234340035156249, 0.229843359375, 0.029879636718749998]",-162.20310974121094,33.329523696899415,"[-5.9509277334, 0.57983398428, -5.9509277334]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85973,52.30760192871094,65.59994506835938,-4.516607284545898,state.GROUND_TESTING,1459,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6744152307510376,0,0,"[10.6, 0.7, 16.5, 10.6, 15.9, 16.5, 0, 0]","[3.934, 3.932, 3.933]",0.142,"[2.9952, 3.3104, 5.008, 7.3696, 8.4464, 27.8256]","[0.005, 0.226875, -0.001875, -0.008125, -0.003125, -0.00125]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",75.36966372633866,0.0,0.0,False,0.0
1775195023.941792,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.22361401171875, 0.22141576953125, 0.042904093750000004]",-162.22581481933594,33.30329200744629,"[-7.75146484248, -1.43432617164, -10.9863281232]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,86033,52.07933044433594,65.6316909790039,-4.378971576690674,state.GROUND_TESTING,1460,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6758098602294922,0,0,"[10.6, 0.7, 15.9, 10.4, 15.5, 17.6, 0, 0]","[3.934, 3.932, 3.933]",0.142,"[3.0, 3.3104, 5.0048, 7.3632, 8.4624, 27.8304]","[0.0025, 0.20625000000000002, -0.00125, -0.00625, -0.00125, -0.00375]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",75.31101925252726,0.0,0.0,False,0.0
