timestamp,pyrostat,servostat,accel,barometer,baro_alt_filtered,baro_vel_filtered,temp,gyro,magnetometer,heading,gps_fix_status,lat,lon,gpsalt,pdop,hdop,vdop,flight_time,last_rec,yaw_gyro_int,pitch_gyro_int,roll_gyro_int,batt_voltage,rocket_state,pktnum,rssi,armed_pyros,fired_pyros,badpackets,rxrssi,accel_integrated_velo,baro_max_alt,gps_max_alt
1762635321.8477015,"[1, 2, 2, 2, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.6151138671875, -0.38307226562499996, -0.9576806640625]",6214328,292.60504150390625,2.015026807785034,8607864,"[-0.1525878906, 0.4577636718, 0.12207031248]","[-210.25, 379.75, 252.0625]",40.49496841430664,1,42.70256423950195,-77.19046020507812,238.59999084472656,1.3200000524520874,0.7099999785423279,1.1200000047683716,34026,20,-2.0144639015197754,1.2930657863616943,3.918515205383301,11.853290557861328,state.GROUND_TESTING,586,-63,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",5,-78,-7.21060037612915,310.5854797363281,239.09999084472656
1762635321.9046016,"[1, 2, 2, 2, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.9215716796875, -0.49799394531249996, -1.1109095703125]",6213496,292.5966491699219,1.7082992792129517,8608248,"[-0.09155273436, -0.57983398428, -0.03051757812]","[-204.75, 420.6875, 223.9375]",43.10761260986328,1,42.70256423950195,-77.19046020507812,238.59999084472656,1.3200000524520874,0.7099999785423279,1.1200000047683716,34086,20,-2.0227646827697754,1.2947745323181152,3.90948224067688,11.853290557861328,state.GROUND_TESTING,587,-66,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",5,-76,-7.2176971435546875,310.5854797363281,239.09999084472656
1762635321.9554014,"[1, 2, 2, 2, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.576806640625, -0.49799394531249996, -0.5363011718749999]",6214040,292.08782958984375,0.3095977306365967,8608248,"[0.0, -0.42724609368, -0.12207031248]","[-210.9375, 397.125, 252.6875]",40.517269134521484,1,42.70256423950195,-77.19046020507812,238.59999084472656,1.3200000524520874,0.7099999785423279,1.1200000047683716,34137,71,-2.0270376205444336,1.2913577556610107,3.90081787109375,11.830451965332031,state.GROUND_TESTING,588,-74,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",5,-76,-7.228973388671875,310.5854797363281,239.09999084472656
1762635322.0137274,"[1, 2, 2, 2, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.65342109375, -0.5363011718749999, -0.689530078125]",6213560,292.1324462890625,0.35213547945022583,8607576,"[0.03051757812, 0.4577636718, -0.06103515624]","[-190.0625, 434.75, 173.5625]",48.26699447631836,1,42.70256423950195,-77.19046020507812,238.59999084472656,1.3200000524520874,0.7099999785423279,1.1200000047683716,34197,20,-2.0291125774383545,1.2875726222991943,3.898862838745117,11.853290557861328,state.GROUND_TESTING,589,-74,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",5,-76,-7.237602710723877,310.5854797363281,239.09999084472656
1762635322.0737247,"[1, 2, 2, 2, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.9981861328125, -0.5363011718749999, -0.5363011718749999]",6214168,292.00787353515625,0.0026157924439758062,8608376,"[-0.06103515624, 0.1525878906, 0.09155273436]","[-193.3125, 397.375, 194.875]",45.44179153442383,1,42.70256423950195,-77.19046020507812,238.59999084472656,1.3200000524520874,0.7099999785423279,1.1200000047683716,34257,20,-2.027996063232422,1.289054274559021,3.9064102172851562,11.853290557861328,state.GROUND_TESTING,590,-57,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",5,-73,-7.241251468658447,310.5854797363281,239.09999084472656
1762635322.1357858,"[1, 2, 2, 2, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.5001921875, -0.7661445312499999, -0.612915625]",6213784,292.04254150390625,-0.16317561268806458,8607864,"[-0.06103515624, 0.762939453, 0.1525878906]","[-207.375, 391.25, 237.1875]",41.830867767333984,1,42.70256423950195,-77.19046020507812,238.59999084472656,1.3200000524520874,0.7099999785423279,1.1200000047683716,34317,20,-2.0293259620666504,1.2977216243743896,3.9304263591766357,11.830451965332031,state.GROUND_TESTING,591,-57,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",5,-71,-7.248347282409668,310.5854797363281,239.09999084472656
1762635322.1944263,"[1, 2, 2, 2, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.5384994140625, -0.689530078125, -0.612915625]",6213592,291.92401123046875,-0.8263412714004517,8608984,"[-0.09155273436, 0.03051757812, 0.1525878906]","[-186.0625, 434.875, 167.5625]",48.662601470947266,1,42.70256423950195,-77.19046020507812,238.59999084472656,1.3200000524520874,0.7099999785423279,1.1200000047683716,34377,20,-2.031992197036743,1.3044209480285645,3.951423168182373,11.876129150390625,state.GROUND_TESTING,592,-60,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",5,-71,-7.269617080688477,310.5854797363281,239.09999084472656
1762635322.2549653,"[1, 2, 2, 2, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.3852705078125, -0.612915625, -1.0726023437499999]",6213912,292.01153564453125,-1.8328608274459839,8609464,"[-0.03051757812, -0.1525878906, 0.03051757812]","[-200.9375, 411.125, 207.5625]",44.743141174316406,1,42.70256423950195,-77.19046020507812,238.59999084472656,1.3200000524520874,0.7099999785423279,1.1200000047683716,34436,20,-2.0396828651428223,1.3100357055664062,3.9545962810516357,11.830451965332031,state.GROUND_TESTING,593,-60,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",5,-74,-7.2790117263793945,310.5854797363281,239.09999084472656
1762635322.31637,"[1, 2, 2, 2, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.423577734375, -0.229843359375, -0.612915625]",6214008,292.17535400390625,-1.0499916076660156,8608888,"[0.03051757812, -0.18310546872, -0.03051757812]","[-196.625, 406.4375, 194.6875]",45.95594787597656,1,42.70256423950195,-77.19046020507812,238.59999084472656,1.3200000524520874,0.7099999785423279,1.1200000047683716,34496,20,-2.044076681137085,1.3080822229385376,3.9592344760894775,11.830451965332031,state.GROUND_TESTING,594,-58,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",5,-72,-7.286874771118164,310.5854797363281,239.09999084472656
1762635322.3702252,"[1, 2, 2, 2, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.65342109375, -0.7661445312499999, -0.842758984375]",6213656,291.915283203125,-1.6733288764953613,8609144,"[-0.03051757812, -0.09155273436, -0.03051757812]","[-207.3125, 385.25, 234.0]",42.20778274536133,1,42.702571868896484,-77.19046020507812,238.6999969482422,1.3200000524520874,0.7099999785423279,1.1200000047683716,34549,8,-2.0465171337127686,1.3036863803863525,3.957528591156006,11.853290557861328,state.GROUND_TESTING,595,-56,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",5,-70,-7.294790744781494,310.5854797363281,239.09999084472656
